------------------------------
      nx |       Ra |       Nu
      32 |       50 | 1.983851
      32 |       55 | 2.104228
      32 |       60 | 2.223498
      32 |       65 | 2.341592
      32 |       70 | 2.458473
      32 |       75 | 2.574135
      32 |       80 | 2.688595
      32 |       85 | 2.801880
      32 |       90 | 2.914024
      32 |       95 | 3.025064
      32 |      100 | 3.135038
      32 |      105 | 3.243981
      32 |      110 | 3.351931
      32 |      115 | 3.458919
      32 |      120 | 3.564979
      32 |      125 | 3.670137
      32 |      130 | 3.774421
      32 |      135 | 3.877855
      32 |      140 | 3.980461
      32 |      145 | 4.082256
      32 |      150 | 4.183260
------------------------------
      nx |       Ra |       Nu
      48 |       50 | 1.983214
      48 |       55 | 2.102896
      48 |       60 | 2.221276
      48 |       65 | 2.338272
      48 |       70 | 2.453834
      48 |       75 | 2.567952
      48 |       80 | 2.680634
      48 |       85 | 2.791907
      48 |       90 | 2.901804
      48 |       95 | 3.010366
      48 |      100 | 3.117636
      48 |      105 | 3.223657
      48 |      110 | 3.328473
      48 |      115 | 3.432128
      48 |      120 | 3.534664
      48 |      125 | 3.636122
      48 |      130 | 3.736542
      48 |      135 | 3.835962
      48 |      140 | 3.934416
      48 |      145 | 4.031939
      48 |      150 | 4.128563
------------------------------
      nx |       Ra |       Nu
      64 |       50 | 1.983346
      64 |       55 | 2.102882
      64 |       60 | 2.221060
      64 |       65 | 2.337789
      64 |       70 | 2.453014
      64 |       75 | 2.566718
      64 |       80 | 2.678907
      64 |       85 | 2.789600
      64 |       90 | 2.898830
      64 |       95 | 3.006632
      64 |      100 | 3.113049
      64 |      105 | 3.218121
      64 |      110 | 3.321893
      64 |      115 | 3.424407
      64 |      120 | 3.525708
      64 |      125 | 3.625836
      64 |      130 | 3.724833
      64 |      135 | 3.822738
      64 |      140 | 3.919588
      64 |      145 | 4.015421
      64 |      150 | 4.110270
