------------------------------
      nx |       Ra |       Nu
      32 |       50 | 1.450217
      32 |       60 | 1.778479
      32 |       70 | 2.044020
      32 |       80 | 2.270005
      32 |       90 | 2.466915
      32 |      100 | 2.642009
      32 |      110 | 2.799983
      32 |      120 | 2.944270
      32 |      130 | 3.142467
      32 |      140 | 3.200714
      32 |      150 | 3.316000
      32 |      160 | 3.424227
      32 |      170 | 3.526264
      32 |      180 | 3.622827
      32 |      190 | 3.714517
      32 |      200 | 3.801819
      32 |      210 | 3.885180
      32 |      220 | 3.964970
      32 |      230 | 4.041494
      32 |      240 | 4.115033
      32 |      250 | 4.185834
      32 |      260 | 4.254112
      32 |      270 | 4.320058
      32 |      280 | 4.383846
      32 |      290 | 4.445629
      32 |      300 | 4.505545
------------------------------
      nx |       Ra |       Nu
      48 |       50 | 1.451313
      48 |       60 | 1.778559
      48 |       70 | 2.045286
      48 |       80 | 2.271413
      48 |       90 | 2.468460
      48 |      100 | 2.643659
      48 |      110 | 2.801796
      48 |      120 | 2.946218
      48 |      130 | 3.079301
      48 |      140 | 3.202844
      48 |      150 | 3.318223
      48 |      160 | 3.426512
      48 |      170 | 3.528631
      48 |      180 | 3.625221
      48 |      190 | 3.716946
      48 |      200 | 3.804288
      48 |      210 | 3.887669
      48 |      220 | 3.967461
      48 |      230 | 4.043983
      48 |      240 | 4.117511
      48 |      250 | 4.188291
      48 |      260 | 4.256546
      48 |      270 | 4.322457
      48 |      280 | 4.386194
      48 |      290 | 4.447911
      48 |      300 | 4.507747
------------------------------
      nx |       Ra |       Nu
      64 |       50 | 1.451699
      64 |       60 | 1.779002
      64 |       70 | 2.045819
      64 |       80 | 2.272038
      64 |       90 | 2.469208
      64 |      100 | 2.644501
      64 |      110 | 2.802742
      64 |      120 | 2.947249
      64 |      130 | 3.080450
      64 |      140 | 3.204094
      64 |      150 | 3.319573
      64 |      160 | 3.427961
      64 |      170 | 3.530169
      64 |      180 | 3.626854
      64 |      190 | 3.718668
      64 |      200 | 3.806103
      64 |      210 | 3.889570
      64 |      220 | 3.969446
      64 |      230 | 4.046049
      64 |      240 | 4.119657
      64 |      250 | 4.190515
      64 |      260 | 4.258837
      64 |      270 | 4.324814
      64 |      280 | 4.388618
      64 |      290 | 4.450401
      64 |      300 | 4.510300
